,MapCode,SpeciesName,CohortAge,CohortBiomass
1335,246,PITA,30,142
11154,247,LIST,30,185
318,247,PIEC,40,254
4618,248,PITA,20,73
390,249,PIEC,30,39
7807,250,ACRU,50,510
15327,250,QUAL,60,472
11163,251,LIST,40,247
4622,251,PITA,40,789
5354,252,PITA,10,342
5355,252,PITA,20,119
1346,252,PITA,30,198
13145,253,LITU,60,686
15377,253,QUAL,50,1119
2443,254,PITA,20,220
16984,254,QUST,10,18
1351,255,PITA,40,450
6334,256,PITA,10,28
11537,257,LIST,20,496
1353,257,PITA,30,718
4635,258,PITA,70,1841
4636,258,PITA,120,919
8555,259,ACRU,10,37
4637,259,PITA,10,70
4638,259,PITA,20,115
1360,260,PITA,40,945
9861,261,FRPE,30,495
10815,261,LIST,30,95
10093,261,LIST,100,863
16075,262,QUFA,10,20
11546,263,LIST,10,31
1365,263,PITA,20,235
10085,264,LIST,10,47
1367,264,PITA,60,796
2462,264,PITA,120,1957
11678,265,LIST,140,3661
1370,265,PITA,40,295
6235,265,PITA,70,850
1373,266,PITA,20,144
15319,266,QUAL,20,131
10219,267,LIST,30,114
1375,267,PITA,10,70
8081,268,ACRU,30,82
3564,268,PITA,10,26
12811,269,LITU,150,2219
9185,270,ACRU,20,25
9527,270,CAGL8,20,19
10032,270,LIST,30,181
4663,271,PITA,10,38
1384,271,PITA,50,931
16956,271,QURU,20,95
4666,272,PITA,20,144
1387,272,PITA,30,165
17135,272,QUVE,10,25
12816,273,LITU,30,88
31,273,PIEC,30,84
12508,274,LITU,150,4156
4672,275,PITA,20,111
4673,275,PITA,30,220
8709,276,ACRU,10,15
11699,277,LIST,20,47
4675,277,PITA,10,70
4676,277,PITA,30,145
14830,277,PRSE2,20,21
10847,278,LIST,10,34
1399,278,PITA,10,297
4681,279,PITA,30,143
4682,279,PITA,70,513
6143,280,PITA,10,10
1404,280,PITA,20,205
11954,281,LIST,10,69
11588,281,LIST,30,98
16387,281,QUPH,30,150
8723,282,ACRU,10,27
4325,282,PITA,30,420
5786,283,PITA,10,59
13331,284,LITU,20,54
1411,284,PITA,10,57
271,285,PIEC,20,63
11597,286,LIST,70,881
311,286,PIEC,60,1030
9218,287,ACRU,30,151
9781,287,FRPE,40,238
10871,287,LIST,40,335
9102,288,ACRU,30,151
12850,288,LITU,120,926
8372,289,ACRU,20,30
10387,289,LIST,10,10
4703,290,PITA,10,26
1424,291,PITA,10,61
4705,292,PITA,30,273
1426,292,PITA,40,450
1427,292,PITA,60,671
1428,293,PITA,10,70
8018,294,ACRU,40,254
9822,294,FRPE,20,50
10883,294,LIST,50,369
10083,295,LIST,20,67
12225,296,LIST,20,24
5808,296,PITA,20,466
11982,297,LIST,40,247
1435,297,PITA,30,273
4717,298,PITA,20,135
17166,298,ULAL,30,170
11866,299,LIST,30,81
4355,299,PITA,10,70
4720,299,PITA,30,318
1442,300,PITA,30,158
17302,300,ULAM,40,146
8522,301,ACRU,40,287
1444,301,PITA,20,70
1445,301,PITA,90,1336
9895,302,FRPE,20,60
10535,302,LIST,10,47
4727,302,PITA,20,25
1448,302,PITA,30,204
1451,303,PITA,50,894
1452,303,PITA,60,927
11879,304,LIST,20,216
11150,305,LIST,20,41
68,306,PIEC,30,167
3643,306,PITA,30,182
4737,307,PITA,20,269
3645,308,PITA,20,259
4739,309,PITA,10,22
239,310,PIEC,30,453
1461,310,PITA,20,170
11644,311,LIST,60,857
13988,311,LITU,40,236
12094,312,LIST,30,65
6408,312,PITA,20,254
11651,313,LIST,100,941
11285,313,LIST,140,2205
17079,313,QUST,10,110
1469,314,PITA,20,316
9075,315,ACRU,40,113
12022,315,LIST,10,24
4750,315,PITA,30,427
127,316,PIEC,30,51
1474,316,PITA,20,72
1475,316,PITA,30,347
8308,317,ACRU,10,15
12150,317,LIST,40,247
11176,318,LIST,30,129
1478,318,PITA,30,273
4759,318,PITA,50,597
10569,319,LIST,30,129
4397,319,PITA,30,273
11871,320,LIST,20,32
6346,320,PITA,20,144
11306,321,LIST,10,29
1485,321,PITA,40,246
4402,321,PITA,50,783
4768,322,PITA,30,888
16339,322,QUPH,30,89
4406,323,PITA,70,866
6769,324,PIVI2,20,57
1492,325,PITA,10,13
10011,326,LIST,30,124
1493,326,PITA,50,674
6882,327,PIVI2,30,71
12126,328,LIST,30,164
1496,328,PITA,10,24
4413,328,PITA,20,189
17243,328,ULAL,30,253
9917,329,JUNI,30,311
10225,329,LIST,30,147
11321,330,LIST,50,380
1502,330,PITA,40,450
4784,331,PITA,20,84
15082,331,QUAL,10,37
8702,332,ACRU,30,234
1506,332,PITA,50,869
9952,333,LIST,30,76
4788,333,PITA,20,257
5520,334,PITA,20,144
4791,335,PITA,20,49
3699,336,PITA,10,24
12361,337,LIST,10,13
12334,337,LIST,30,84
4793,337,PITA,30,273
4794,337,PITA,40,767
12346,338,LIST,10,16
4433,338,PITA,20,183
1519,339,PITA,10,10
16732,340,QUMO4,10,14
5775,341,PITA,30,273
16955,341,QURU,30,198
4439,342,PITA,10,74
4804,342,PITA,20,45
4805,343,PITA,10,26
3713,344,PITA,10,50
6469,344,PITA,20,73
4808,345,PITA,20,279
14015,346,LITU,30,139
16917,346,QURU,30,103
17056,347,QUST,30,209
9353,348,ACRU,50,419
6750,348,PIVI2,70,921
13697,349,LITU,30,78
4814,349,PITA,20,144
1535,349,PITA,30,273
14720,350,PLOC,80,2246
12290,351,LIST,20,329
12207,351,LIST,40,173
16706,351,QUMO4,40,358
14643,352,OXAR,40,119
16570,352,QUMO4,70,1468
10994,353,LIST,30,75
12090,353,LIST,40,179
16306,353,QUPH,40,505
17244,353,ULAL,10,17
6934,354,PIVI2,20,76
6937,354,PIVI2,30,140
16913,354,QURU,20,75
7182,355,PIVI2,40,711
15171,355,QUAL,30,655
7305,356,PIVI2,30,200
7894,357,ACRU,40,42
13102,357,LITU,40,148
4835,358,PITA,10,191
1556,358,PITA,20,98
15585,359,QUAL,20,156
9938,360,JUNI,30,113
8843,361,ACRU,40,54
11380,361,LIST,10,34
4475,361,PITA,20,59
7317,362,PIVI2,10,17
15984,362,QUCO2,30,118
15182,363,QUAL,50,930
16729,363,QUMO4,50,1096
11262,364,LIST,20,269
13974,364,LITU,20,149
17181,364,ULAL,20,165
15192,365,QUAL,10,20
11875,366,LIST,60,600
13855,366,LITU,30,140
13369,367,LITU,40,255
470,367,PIST,20,28
7570,368,PIVI2,30,118
14184,369,LITU,20,79
13981,369,LITU,40,291
16937,370,QURU,20,169
10297,371,LIST,40,367
14267,371,LITU,40,98
8533,372,ACRU,40,451
15444,372,QUAL,30,202
13742,373,LITU,30,75
8536,374,ACRU,40,121
515,374,PIST,20,7
9924,375,JUNI,40,312
12776,375,LITU,30,257
13385,376,LITU,40,211
16589,376,QUMO4,30,296
15452,377,QUAL,10,37
1590,378,PITA,10,98
7102,379,PIVI2,20,103
8547,380,ACRU,40,126
6856,380,PIVI2,30,332
7590,380,PIVI2,40,542
11778,381,LIST,10,31
13028,381,LITU,20,33
6781,382,PIVI2,40,329
7351,382,PIVI2,50,481
8346,383,ACRU,40,270
